date,store_id,city,store_profile,holiday_flag,holiday_name,local_event_flag,local_event_name,weekend_flag,payday_flag,heatwave_flag,avg_temp_f,temp_index,day_of_week,day_name,month,week_of_year,quarter,day_of_month,pred_transactions
2026-01-07,S001,Tempe,campus corridor,0,none,0,none,0,0,0,75.1,0.3654545454545453,2,Wednesday,1,2,1,7,958.3226318359375
2026-01-07,S002,Phoenix,urban flagship,0,none,0,none,0,0,0,78.6,0.4290909090909089,2,Wednesday,1,2,1,7,1104.8118896484375
2026-01-07,S003,Mesa,family suburban,0,none,0,none,0,0,0,76.6,0.3927272727272726,2,Wednesday,1,2,1,7,878.1901245117188
2026-01-07,S004,Scottsdale,premium suburban,0,none,0,none,0,0,0,73.1,0.329090909090909,2,Wednesday,1,2,1,7,1054.93798828125
2026-01-08,S001,Tempe,campus corridor,0,none,0,none,0,0,0,74.8,0.3599999999999999,3,Thursday,1,2,1,8,892.6432495117188
2026-01-08,S002,Phoenix,urban flagship,0,none,0,none,0,0,0,78.3,0.4236363636363636,3,Thursday,1,2,1,8,1022.0899047851562
2026-01-08,S003,Mesa,family suburban,0,none,0,none,0,0,0,76.3,0.3872727272727272,3,Thursday,1,2,1,8,848.9783325195312
2026-01-08,S004,Scottsdale,premium suburban,0,none,0,none,0,0,0,72.8,0.3236363636363636,3,Thursday,1,2,1,8,983.4478759765625
2026-01-09,S001,Tempe,campus corridor,0,none,0,none,0,0,0,74.5,0.3545454545454545,4,Friday,1,2,1,9,972.5623168945312
2026-01-09,S002,Phoenix,urban flagship,0,none,0,none,0,0,0,78.0,0.4181818181818181,4,Friday,1,2,1,9,1148.4951171875
2026-01-09,S003,Mesa,family suburban,0,none,0,none,0,0,0,76.0,0.3818181818181818,4,Friday,1,2,1,9,906.9500732421875
2026-01-09,S004,Scottsdale,premium suburban,0,none,0,none,0,0,0,72.5,0.3181818181818182,4,Friday,1,2,1,9,1057.9356689453125
2026-01-10,S001,Tempe,campus corridor,0,none,0,none,1,0,0,74.2,0.3490909090909091,5,Saturday,1,2,1,10,1031.824462890625
2026-01-10,S002,Phoenix,urban flagship,0,none,0,none,1,0,0,77.7,0.4127272727272728,5,Saturday,1,2,1,10,1199.973388671875
2026-01-10,S003,Mesa,family suburban,0,none,0,none,1,0,0,75.7,0.3763636363636364,5,Saturday,1,2,1,10,960.1968383789062
2026-01-10,S004,Scottsdale,premium suburban,0,none,0,none,1,0,0,72.2,0.3127272727272728,5,Saturday,1,2,1,10,1145.589111328125
2026-01-11,S001,Tempe,campus corridor,0,none,0,none,1,0,0,74.0,0.3454545454545454,6,Sunday,1,2,1,11,997.7230834960938
2026-01-11,S002,Phoenix,urban flagship,0,none,0,none,1,0,0,77.5,0.4090909090909091,6,Sunday,1,2,1,11,1170.9521484375
2026-01-11,S003,Mesa,family suburban,0,none,0,none,1,0,0,75.5,0.3727272727272727,6,Sunday,1,2,1,11,918.7943725585938
2026-01-11,S004,Scottsdale,premium suburban,0,none,0,none,1,0,0,72.0,0.3090909090909091,6,Sunday,1,2,1,11,1098.6220703125
2026-01-12,S001,Tempe,campus corridor,0,none,0,none,0,0,0,73.7,0.34,0,Monday,1,3,1,12,846.3767700195312
2026-01-12,S002,Phoenix,urban flagship,0,none,0,none,0,0,0,77.2,0.4036363636363637,0,Monday,1,3,1,12,997.9325561523438
2026-01-12,S003,Mesa,family suburban,0,none,0,none,0,0,0,75.2,0.3672727272727273,0,Monday,1,3,1,12,776.3155517578125
2026-01-12,S004,Scottsdale,premium suburban,0,none,0,none,0,0,0,71.7,0.3036363636363637,0,Monday,1,3,1,12,915.33349609375
2026-01-13,S001,Tempe,campus corridor,0,none,0,none,0,0,0,73.4,0.3345454545454546,1,Tuesday,1,3,1,13,869.8989868164062
2026-01-13,S002,Phoenix,urban flagship,0,none,0,none,0,0,0,76.9,0.3981818181818183,1,Tuesday,1,3,1,13,1023.2269897460938
2026-01-13,S003,Mesa,family suburban,0,none,0,none,0,0,0,74.9,0.3618181818181819,1,Tuesday,1,3,1,13,809.308349609375
2026-01-13,S004,Scottsdale,premium suburban,0,none,0,none,0,0,0,71.4,0.2981818181818182,1,Tuesday,1,3,1,13,948.0706176757812
2026-01-14,S001,Tempe,campus corridor,0,none,0,none,0,1,0,73.1,0.329090909090909,2,Wednesday,1,3,1,14,969.794921875
2026-01-14,S002,Phoenix,urban flagship,0,none,0,none,0,1,0,76.6,0.3927272727272726,2,Wednesday,1,3,1,14,1122.099609375
2026-01-14,S003,Mesa,family suburban,0,none,0,none,0,1,0,74.6,0.3563636363636362,2,Wednesday,1,3,1,14,882.16796875
2026-01-14,S004,Scottsdale,premium suburban,0,none,0,none,0,1,0,71.1,0.2927272727272726,2,Wednesday,1,3,1,14,1050.978515625
